1.2.1.3. Fogyasztóiár-indexek a kiadások részletes csoportjai szerint, havonta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sorszám;Áru-, szolgáltatáscsoportok;2020. Súly;2020. január;2020. február;2020. március;2020. április;2020. május;2020. június;2020. július;2020. augusztus;2020. szeptember;2020. október;2020. november;2020. december;2021. Súly;2021. január;2021. február;2021. március;2021. április;2021. május;2021. június;2021. július;2021. augusztus;2021. szeptember;2021. október;2021. november;2021. december;2022. Súly;2022. január;2022. február;2022. március;2022. április;2022. május;2022. június;2022. július;2022. augusztus;2022. szeptember;2022. október;2022. november;2022. december;2023. Súly;2023. január;2023. február;2023. március;2023. április;2023. május;2023. június;2023. július;2023. augusztus;2023. szeptember;2023. október;2023. november;2023. december;2024. Súly;2024. január;2024. február;2024. március;2024. április;2024. május;2024. június;2024. július;2024. augusztus;2024. szeptember;2024. október;2024. november;2024. december
Az elõzõ év azonos idõszaka = 100,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Sertéshús;1,340;127,6;127,3;127,4;128,9;120,7;117,0;111,5;109,8;107,3;106,0;103,4;96,1;1,288;93,7;92,7;92,2;93,1;92,5;94,4;97,4;98,9;98,3;97,6;98,9;98,4;1,272;100,2;101,3;103,5;109,6;112,9;111,3;114,2;117,4;122,4;125,8;128,9;129,9;1,305;129,5;129,3;126,8;115,8;113,7;115,1;112,9;118,4;115,1;113,0;110,2;110,3;1,380;110,0;109,4;109,1;109,2;108,6;107,8;110,7;103,4;102,1;;;
101;Marhahús;0,091;105,7;105,1;105,4;107,3;106,9;106,7;107,3;106,9;106,6;105,8;105,1;104,2;0,091;103,6;103,7;103,8;101,7;102,3;101,8;102,1;103,0;103,5;104,4;105,2;108,8;0,114;112,0;113,9;117,6;128,4;133,5;141,0;142,9;144,3;146,6;146,5;147,0;143,2;0,117;140,7;140,1;135,5;125,0;119,8;114,0;111,4;110,0;107,7;106,8;104,8;103,7;0,124;102,8;102,3;102,6;102,7;102,0;101,9;102,4;102,0;102,0;;;
102;Egyéb hús;0,019;101,3;103,8;104,2;103,7;102,4;103,7;104,2;104,4;104,4;105,0;104,5;101,1;0,019;100,7;99,2;98,5;98,4;101,0;99,9;100,4;100,4;101,0;101,6;101,6;101,9;0,019;103,3;103,7;104,2;105,4;107,0;107,9;108,8;108,1;109,8;112,9;115,4;116,3;0,020;116,4;119,1;119,2;118,5;116,2;115,9;115,2;116,6;115,6;112,3;109,1;110,4;0,021;109,7;105,3;104,7;105,6;105,5;105,8;105,3;104,5;102,6;;;
103;Belsõségek;0,142;105,4;105,3;105,2;109,9;109,0;106,4;106,2;105,5;105,4;105,2;106,0;104,8;0,117;103,0;103,2;102,6;99,6;101,1;104,3;105,9;105,9;105,7;106,7;104,6;106,4;0,092;108,6;110,9;113,4;122,5;130,1;133,9;135,6;137,7;145,0;146,7;153,4;154,6;0,095;153,2;149,2;146,1;135,1;126,0;121,2;119,7;118,0;112,2;109,1;103,9;101,4;0,100;99,5;98,4;98,4;97,7;97,6;97,9;96,7;95,3;95,4;;;
104;Baromfihús;1,111;102,9;102,6;103,2;105,3;105,0;103,3;103,0;102,3;101,3;101,3;100,4;99,1;1,108;99,3;99,4;100,1;100,3;101,1;105,1;107,7;108,9;109,2;109,3;109,0;113,4;1,119;118,0;119,2;121,4;129,5;134,3;137,1;138,8;140,4;142,9;145,3;154,4;151,5;1,149;148,3;145,3;140,6;129,9;122,7;117,2;110,5;111,2;108,5;105,9;98,4;96,0;1,215;94,0;93,3;93,8;93,5;94,0;94,5;100,0;97,6;97,6;;;
105;Szalámi, szárazkolbász, sonka;0,938;109,6;111,0;112,2;112,5;112,6;110,8;111,5;111,4;110,1;108,9;106,0;104,8;0,948;104,8;101,8;99,4;100,8;100,1;100,2;98,6;97,7;98,9;98,6;99,5;99,9;0,925;99,6;102,5;103,8;106,8;115,1;118,4;121,5;123,5;124,5;130,5;134,2;135,9;0,888;139,6;137,4;136,5;131,1;121,6;118,3;115,5;114,2;110,9;105,3;103,2;101,3;0,940;98,4;96,9;97,6;97,8;97,6;98,0;98,4;98,0;98,6;;;
106;Párizsi felvágott, kolbász;1,119;117,4;121,5;120,8;122,3;122,0;120,5;116,1;118,1;117,0;113,4;112,6;107,8;1,152;106,6;101,9;100,4;98,4;100,0;100,7;101,0;98,9;100,2;99,8;99,2;101,0;1,125;101,5;107,4;108,8;113,8;119,5;121,7;125,2;125,3;125,1;132,3;137,5;140,3;0,964;143,8;137,6;137,6;128,4;122,9;121,0;118,0;119,7;118,2;111,8;108,6;106,5;1,019;102,9;102,0;101,3;101,3;101,2;100,6;100,3;98,8;99,5;;;
107;Húskonzerv;0,107;100,2;104,8;107,6;107,7;108,3;109,8;112,1;113,8;111,0;112,9;111,4;111,6;0,131;113,1;107,8;105,0;104,8;105,4;106,5;105,3;105,4;106,2;104,5;107,3;106,8;0,129;111,3;122,3;125,2;130,1;132,4;141,2;148,7;151,6;154,8;161,5;163,6;169,8;0,047;166,4;157,3;155,4;150,3;147,6;136,9;126,7;122,6;121,9;118,1;113,1;109,4;0,050;105,8;97,4;99,3;98,1;98,7;97,7;98,8;98,8;97,8;;;
108;Hal;0,162;103,8;103,5;102,6;104,4;106,0;106,5;105,9;106,3;104,9;105,0;104,5;104,5;0,214;104,3;103,7;103,9;102,4;101,9;102,9;104,1;105,9;107,1;108,2;109,0;109,7;0,171;112,9;114,7;115,2;118,1;122,7;125,6;129,2;130,0;132,1;135,6;140,3;142,3;0,136;141,7;140,9;140,6;137,7;131,6;126,3;121,6;119,3;115,8;110,8;106,3;103,2;0,183;101,9;101,3;99,1;97,6;98,6;98,7;98,8;98,0;99,2;;;
109;Halkonzerv;0,076;100,4;102,0;104,0;104,8;106,1;104,0;107,4;106,0;106,6;108,2;107,3;107,5;0,100;106,6;107,2;104,6;104,7;102,9;102,2;103,9;105,0;103,9;102,8;103,5;103,6;0,085;106,5;108,0;109,2;108,4;111,4;115,0;115,2;119,8;123,7;131,6;129,2;133,4;0,068;131,0;126,8;126,4;124,6;120,5;120,5;116,6;115,6;109,8;105,7;104,9;100,3;0,091;98,9;99,1;98,1;98,6;100,5;100,4;100,6;97,6;100,2;;;
10;Hús, hal, készítmények;5,105;113,8;114,9;115,2;116,7;114,5;112,5;110,4;110,2;108,7;107,4;105,8;102,1;5,168;101,1;99,3;98,4;98,3;98,6;100,3;101,5;101,6;102,1;101,8;102,2;103,6;5,051;105,5;108,4;110,2;115,8;121,0;122,9;125,8;127,6;130,0;134,6;139,5;140,3;4,789;140,7;137,7;135,6;126,6;121,0;118,4;114,5;116,2;113,4;109,5;105,4;103,7;5,123;101,7;100,8;100,8;100,7;100,7;100,5;102,7;99,7;99,6;;;
110;Tojás;0,489;102,4;103,2;104,1;108,3;105,6;107,1;108,9;110,2;109,1;106,3;107,3;104,2;0,530;104,5;103,5;106,4;104,1;108,7;107,8;105,2;103,7;105,0;107,5;106,3;109,4;0,455;110,9;111,4;111,1;126,7;129,9;134,3;137,5;142,0;153,7;187,9;202,9;182,7;0,488;179,4;179,2;174,0;151,0;146,1;140,1;130,7;115,3;102,9;83,1;75,6;81,9;0,417;82,2;80,9;80,3;79,7;78,0;77,7;85,3;92,1;96,5;;;
111;Tej;1,178;107,3;109,4;109,1;107,5;108,2;106,6;107,5;108,9;105,5;102,7;102,1;101,3;1,112;99,8;99,7;99,7;100,7;100,7;102,2;100,5;100,2;101,5;102,6;103,3;112,1;1,002;116,9;110,9;112,1;114,8;120,2;124,9;129,6;135,7;142,1;147,3;152,9;152,1;1,262;148,2;153,7;150,4;143,2;134,9;126,7;117,1;111,7;104,5;99,6;95,1;89,7;1,078;89,8;88,8;89,0;90,7;91,0;93,8;104,8;104,8;113,8;;;
112;Sajt;0,616;104,3;106,0;105,7;106,3;103,0;101,9;104,9;103,2;102,9;101,6;101,3;101,4;0,710;100,5;99,6;98,1;98,8;101,8;102,4;101,2;102,3;101,6;103,2;106,0;109,5;0,684;115,8;117,9;121,8;128,9;135,4;143,4;152,6;161,0;168,0;174,7;178,8;183,2;0,965;176,1;172,1;160,6;145,4;133,7;123,3;112,5;105,8;100,6;93,6;89,6;84,5;0,824;84,4;84,4;87,0;90,4;92,6;95,0;98,2;98,4;101,0;;;
113;Tejtermékek (sajt nélkül);1,553;105,9;106,3;106,7;105,8;106,3;108,4;106,5;106,7;105,2;103,9;102,4;102,4;1,801;101,4;101,5;100,5;101,7;101,1;100,9;102,3;102,3;102,7;103,7;105,1;112,0;1,728;117,2;115,5;118,2;122,5;130,3;136,5;143,8;154,7;166,3;175,4;179,0;179,2;1,436;175,8;176,2;172,8;163,5;151,3;141,4;129,5;117,4;107,3;100,9;97,1;91,5;1,226;89,3;87,8;86,3;87,4;88,4;89,8;92,0;94,3;99,0;;;
11;Tej, tejtermék, tojás;3,836;105,6;106,7;106,8;106,7;106,2;106,6;106,8;107,1;105,3;103,4;102,7;102,1;4,153;101,2;100,9;100,6;101,2;102,0;102,4;102,0;101,8;102,5;103,8;104,9;111,3;3,869;116,1;114,3;116,4;122,2;128,6;134,5;141,0;149,5;158,9;169,6;175,3;173,3;4,151;169,0;170,0;164,4;152,7;142,5;133,3;122,5;113,0;104,4;96,3;91,8;88,2;3,545;87,5;86,6;86,6;88,2;88,9;90,7;96,4;98,2;103,6;;;
120;Vaj, vajkrém;0,145;102,0;103,5;101,5;100,6;99,5;99,9;102,0;102,1;101,1;101,3;99,8;98,2;0,170;97,8;96,8;98,2;99,4;100,5;101,3;100,6;100,3;101,4;102,9;104,4;111,7;0,204;115,7;116,3;116,3;120,7;131,1;136,6;141,3;154,5;166,3;171,6;177,3;179,4;0,258;176,6;175,1;168,0;162,1;146,8;135,6;124,2;109,7;101,1;95,1;90,1;85,5;0,156;86,2;84,7;86,9;87,9;88,3;90,0;92,0;98,5;103,6;;;
121;Sertészsiradék;0,046;109,7;112,1;113,6;111,4;113,3;113,7;116,4;117,0;117,1;115,8;109,1;107,1;0,051;103,4;101,8;100,6;104,8;102,3;102,4;101,1;101,4;101,7;101,7;105,6;105,4;0,055;108,5;111,7;114,1;125,5;136,4;137,9;144,7;149,7;163,5;173,9;189,4;189,2;0,130;187,1;181,3;176,4;155,1;139,8;133,2;121,4;110,2;98,5;90,7;85,7;83,6;0,079;80,2;83,1;80,7;77,6;81,0;85,0;88,9;97,0;99,9;;;
122;Szalonna;0,040;113,0;115,5;118,6;119,5;122,9;114,3;114,6;117,2;115,5;114,7;112,3;108,8;0,044;107,4;104,1;101,2;101,5;99,8;102,6;102,7;101,5;101,6;100,8;102,2;101,4;0,048;101,9;105,0;107,0;108,2;117,5;120,2;123,5;124,8;128,4;135,1;140,2;140,6;0,252;141,7;138,4;137,6;132,6;124,2;122,5;118,9;117,3;114,3;109,3;103,6;104,7;0,267;103,0;102,7;102,1;103,0;103,2;100,9;102,1;101,2;100,6;;;
123;Étolaj;0,349;99,6;99,0;103,6;105,1;101,5;102,5;104,4;105,2;104,8;105,9;111,5;113,7;0,387;116,3;125,1;121,3;122,8;124,6;125,5;127,5;130,6;132,6;130,4;126,9;126,8;0,402;133,4;113,4;111,5;110,7;110,3;110,1;106,9;105,0;105,0;104,4;103,2;101,5;0,509;93,6;103,4;103,9;103,4;103,5;103,1;101,5;102,8;101,4;101,1;99,1;98,5;0,308;96,8;97,0;96,5;97,9;96,8;96,9;106,5;105,5;106,7;;;
124;Margarin;0,213;99,7;97,9;99,3;99,7;101,0;99,5;100,0;99,4;99,3;99,0;101,3;100,8;0,228;102,2;105,6;106,0;107,5;107,0;108,2;108,0;109,1;115,4;118,8;119,5;122,8;0,248;121,2;125,8;133,6;138,0;141,4;158,1;165,8;166,9;161,2;158,0;160,3;158,0;0,314;157,9;145,3;137,5;130,7;126,2;112,0;103,4;101,9;98,8;95,8;94,5;94,8;0,190;93,9;94,5;92,1;93,8;92,4;93,0;94,6;94,7;95,9;;;
12;Zsiradékok;0,793;101,2;101,0;103,2;103,7;102,6;102,3;103,8;104,2;103,7;104,1;106,5;106,8;0,880;107,8;111,9;110,6;112,1;112,7;113,7;114,3;115,8;118,6;118,8;118,2;120,3;0,957;123,6;117,0;118,4;120,8;124,9;130,6;132,3;134,6;136,8;138,0;140,4;139,8;1,463;134,6;136,7;133,4;128,9;123,8;116,9;110,8;107,1;102,9;99,9;96,6;95,2;1,000;93,9;94,1;93,5;94,4;94,3;94,7;99,0;100,2;101,8;;;
130;Liszt;0,233;106,5;107,1;104,4;107,1;106,8;107,9;107,3;108,1;111,0;111,0;110,5;106,8;0,176;107,1;107,1;108,2;107,4;106,3;107,7;107,2;108,2;106,0;112,5;120,2;123,7;0,168;131,0;117,6;118,0;117,4;119,7;119,8;122,7;123,1;123,1;116,0;108,7;106,7;0,168;99,1;109,8;109,7;108,8;107,2;105,8;102,4;89,6;86,1;84,6;84,2;82,2;0,163;81,0;80,4;79,7;80,3;80,4;80,8;112,4;127,7;132,9;;;
131;Rizs, hántolmányok;0,246;102,3;102,1;101,0;99,8;102,4;103,6;104,8;105,6;105,1;105,6;106,2;105,3;0,295;107,1;106,2;106,8;107,7;106,1;105,8;104,1;103,6;104,2;106,0;106,7;107,9;0,299;108,8;111,6;113,5;113,9;117,2;124,4;133,4;140,9;144,9;147,1;152,2;151,9;0,299;151,3;149,9;148,1;146,5;139,6;131,2;122,4;116,5;112,4;108,7;104,7;104,3;0,290;102,7;100,9;99,5;98,8;101,2;100,9;100,9;100,0;100,6;;;
132;Kenyér;1,039;107,0;107,6;108,4;107,4;108,1;107,0;107,6;107,8;108,1;107,7;107,8;105,9;1,036;106,0;105,4;104,6;105,2;104,9;105,3;104,0;104,7;104,7;108,1;112,1;115,2;1,047;118,0;125,0;127,9;129,5;137,5;139,7;157,9;164,3;176,2;181,4;181,8;181,1;1,045;180,6;171,1;167,0;161,6;152,7;148,6;126,7;117,5;108,4;101,4;97,3;94,1;1,015;91,0;90,2;89,5;91,0;91,0;91,8;95,4;98,3;99,1;;;
