20.2.2.9. A teljes munkaidõben alkalmazásban állók bruttó átlagkeresete a munkáltató székhelyének elhelyezkedése alapján, vármegye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2020. I. negyedév;2020. I. félév;2020. I–III. negyedév;2020. I–IV. negyedév;2021. I. negyedév;2021. I. félév;2021. I–III. negyedév;2021. I–IV. negyedév;2022. I. negyedév;2022. I. félév;2022. I–III. negyedév;2022. I–IV. negyedév;2023. I. negyedév;2023. I. félév;2023. I–III. negyedév;2023. I–IV. negyedév;2024. I. negyedév;2024. I. félév;2024. I–III. negyedév;2024. I–IV. negyedév
Bruttó átlagkereset, forint;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;463 290;479 272;477 247;488 251;505 865;513 756;513 255;526 137;621 086;610 730;604 270;616 919;668 407;681 773;680 201;696 670;756 554;770 364;766 586;
Pest ;vármegye, régió;344 665;350 816;352 705;359 497;375 407;381 972;381 670;388 874;428 428;435 666;437 968;449 488;498 774;507 831;508 843;520 969;575 045;581 555;581 082;
Közép-Magyarország;nagyrégió;435 770;449 763;448 643;458 606;476 064;483 520;483 058;494 677;576 699;570 354;565 919;578 349;628 850;641 167;640 161;655 624;714 053;726 146;723 110;
Fejér;vármegye;369 243;372 922;373 199;382 954;396 842;406 534;407 986;419 567;468 511;474 628;474 964;489 267;527 501;542 647;542 974;557 605;601 883;615 937;615 016;
Komárom-Esztergom;vármegye;373 080;378 264;379 204;388 965;402 025;412 768;413 079;423 676;469 079;476 595;479 048;494 160;540 415;552 567;554 513;571 236;619 173;631 025;630 042;
Veszprém;vármegye;336 612;340 634;342 970;350 736;372 168;377 081;378 228;385 842;433 929;432 961;435 884;448 365;486 918;499 129;501 049;512 538;557 207;567 232;568 206;
Közép-Dunántúl;régió;360 893;365 292;366 332;375 501;391 288;399 889;400 911;411 115;458 840;463 316;464 987;479 027;519 965;533 353;534 592;548 998;594 620;606 845;606 403;
Gyõr-Moson-Sopron;vármegye;393 290;396 220;396 657;406 309;428 743;441 870;438 721;449 352;500 630;502 684;504 051;520 389;602 636;610 834;603 669;617 702;674 133;681 581;671 459;
Vas;vármegye;336 470;344 694;345 544;356 677;367 074;380 527;380 669;390 416;439 542;442 955;444 590;457 765;492 679;507 281;507 997;521 736;555 041;570 255;569 951;
