15.1.2.25. Gáz- és villamosenergiafelhasználás vármegye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Egy háztartási fogyasztóra jutó havi átlagos vezetékesgáz-felhasználás, m3;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;82,0;84,0;87,7;95,8;94,3;94,2;90,5;81,1;78,7;77,7;90,4;76,4;77,9;82,3;64,8;68,6;72,1;81,2;73,8;70,8;79,5;75,4;79,6;59,5
Pest;vármegye, régió;148,3;151,9;159,0;176,3;166,0;167,7;158,4;133,9;136,9;122,0;120,5;109,0;98,5;111,1;95,8;109,6;107,7;136,5;123,7;120,7;123,2;137,5;124,0;87,2
Közép-Magyarország;nagyrégió;101,4;104,4;109,5;121,1;117,4;118,4;113,1;99,0;98,7;93,2;101,0;87,8;85,1;92,3;75,4;82,8;84,6;100,7;91,5;88,7;95,4;98,3;95,8;69,5
Fejér;vármegye;102,2;116,1;110,7;128,1;117,9;123,8;113,4;95,7;99,2;101,2;84,7;76,0;75,3;83,5;69,8;81,3;83,5;92,8;87,0;87,8;89,3;100,8;93,8;66,7
Komárom-Esztergom;vármegye;156,1;181,0;176,7;188,2;189,3;185,8;177,8;146,3;141,6;127,9;122,1;96,4;108,1;111,3;93,5;109,8;115,0;126,8;121,3;120,1;125,3;141,6;126,9;92,1
Veszprém;vármegye;97,0;107,3;107,4;120,9;129,5;122,5;112,2;88,0;84,9;88,0;90,0;84,8;83,0;91,3;76,4;87,0;79,0;88,8;84,3;84,1;84,8;98,0;91,0;65,0
Közép-Dunántúl;régió;110,3;125,2;121,8;136,9;134,8;134,8;125,2;102,8;102,7;102,1;93,7;82,9;84,2;91,4;76,5;88,6;88,1;98,0;92,8;92,8;94,8;107,9;99,3;71,1
Gyõr-Moson-Sopron;vármegye;93,7;112,4;110,1;118,4;121,8;117,2;113,6;101,7;92,8;90,5;81,0;63,2;74,4;81,0;72,5;79,7;82,1;88,7;85,8;84,4;85,4;96,2;85,2;69,6
Vas;vármegye;96,4;106,1;99,0;118,6;114,5;107,8;102,3;97,0;86,9;82,6;68,0;61,5;63,2;71,5;66,7;71,4;73,8;81,7;80,4;80,0;81,6;93,5;84,3;68,0
Zala;vármegye;78,5;85,0;95,9;105,7;110,7;106,5;92,7;72,6;70,6;77,9;77,2;67,9;69,0;76,5;63,6;72,7;66,0;75,3;71,5;71,8;72,0;82,8;78,5;58,8
Nyugat-Dunántúl;régió;89,4;101,7;102,7;114,2;116,4;111,3;104,2;91,2;84,3;84,6;76,7;64,3;70,0;77,3;68,3;75,5;75,1;82,9;80,1;79,5;80,4;91,5;83,0;66,0
Baranya;vármegye;92,5;108,2;106,4;121,4;126,0;125,1;116,0;97,7;99,7;97,5;85,7;71,2;71,0;78,4;65,4;77,2;79,7;85,3;79,6;80,6;83,9;93,1;87,9;60,8
Somogy;vármegye;89,6;95,1;93,5;106,9;110,2;107,4;96,3;77,6;76,9;80,3;77,1;53,0;50,5;57,0;46,9;59,3;67,5;78,4;72,9;74,9;75,7;87,9;81,9;58,1
