19.1.2.19. Gyümölcstermelés vármegye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Betakarított összes termés, tonna;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;23 343;19 060;7 939;6 716;5 950;6 923;5 716;1 904;8 211;7 715;3 846;5 517;9 920;8 423;9 971;12 496;8 900;10 208;12 792;6 522;112;75;67;58
Pest;vármegye, régió;105 538;86 131;40 248;54 572;62 790;66 186;56 789;36 473;66 354;69 962;44 424;41 042;52 180;67 244;64 023;62 667;53 091;54 361;64 609;52 554;31 324;35 746;31 972;34 657
Közép-Magyarország;nagyrégió;128 881;105 191;48 187;61 288;68 740;73 109;62 505;38 377;74 565;77 677;48 270;46 559;62 100;75 667;73 994;75 163;61 991;64 569;77 401;59 076;31 436;35 821;32 039;34 715
Fejér;vármegye;20 308;18 340;14 060;19 321;25 791;20 456;22 083;15 825;19 481;22 287;13 868;16 373;14 136;18 967;17 247;19 763;14 035;13 512;15 739;14 853;12 655;13 024;13 347;13 516
Komárom-Esztergom;vármegye;7 487;7 185;6 570;3 962;7 436;5 816;7 173;4 392;5 398;6 819;4 133;3 984;3 403;3 282;3 060;4 777;2 604;3 876;3 271;4 002;1 495;2 611;1 410;1 891
Veszprém;vármegye;27 787;14 818;10 611;11 508;16 577;12 661;14 454;9 810;14 782;14 409;9 742;9 099;7 604;8 296;7 398;10 210;7 133;8 021;8 629;6 288;4 421;4 638;5 081;5 475
Közép-Dunántúl;régió;55 582;40 343;31 241;34 791;49 804;38 933;43 710;30 027;39 661;43 515;27 743;29 456;25 144;30 545;27 705;34 750;23 772;25 409;27 639;25 143;18 571;20 273;19 838;20 882
Gyõr-Moson-Sopron;vármegye;24 364;13 636;10 798;14 290;16 428;15 721;16 212;8 781;8 659;15 797;9 573;13 001;12 106;13 890;14 940;16 254;13 583;14 704;14 197;15 929;12 590;12 370;14 373;12 043
Vas;vármegye;14 429;9 479;5 533;10 480;14 313;13 246;13 072;12 142;12 890;12 989;9 036;11 422;10 500;12 096;14 627;17 996;7 159;11 546;12 906;19 595;19 008;17 599;20 109;16 571
